reference	damage_model_pmax	damage_model_p	coverage	nb_reads_aligned	qvalue
k39_12759	0.012	0.99	94.282	4670	0.0
k39_13217	0.012	0.971	161.904	66959	0.0
k39_5150	0.012	0.953	132.578	27643	0.0
k39_12552	0.012	0.96	126.66	10513	0.0
k39_5506	0.012	0.981	155.614	15716	0.0
k39_5886	0.012	0.9	176.731	12954	0.0
k39_3740	0.012	0.923	112.4	36905	0.0
k39_13210	0.012	0.982	125.796	40590	0.0
k39_4640	0.012	0.873	134.539	10955	0.0
k39_6295	0.012	0.969	164.289	71478	0.0
k39_10867	0.012	0.959	150.442	48791	0.0
k39_6699	0.012	0.925	152.911	18026	0.0
k39_7345	0.012	0.845	142.687	11249	0.0
k39_11073	0.012	0.975	158.535	4680	0.0
k39_13174	0.012	0.933	161.395	29593	0.0
k39_8406	0.012	0.852	145.691	24581	0.0
k39_2892	0.012	0.955	146.323	3882	0.0
k39_2030	0.012	0.948	149.369	4966	0.0
k39_6181	0.011	0.956	126.161	13083	0.0
k39_2242	0.011	0.722	117.726	5687	0.0
k39_11439	0.011	0.839	103.253	12050	0.0
k39_9058	0.011	0.696	140.206	1528	0.0
k39_11927	0.011	0.872	114.899	2036	0.0
k39_8011	0.011	0.89	111.335	4054	0.0
k39_7288	0.011	0.921	131.65	57102	0.0
k39_7106	0.011	0.89	176.137	21161	0.0
k39_12846	0.011	0.899	147.575	68770	0.0
k39_7598	0.011	0.773	102.438	3500	0.0
k39_6805	0.011	0.889	150.267	21324	0.0
k39_9269	0.011	0.932	168.551	8619	0.0
k39_13171	0.011	0.923	147.035	83760	0.0
k39_10279	0.011	0.948	106.184	9084	0.0
k39_4804	0.011	0.947	131.103	30180	0.0
k39_11054	0.011	0.943	145.449	50219	0.0
k39_10680	0.011	0.76	146.923	2439	0.001
k39_9863	0.011	0.885	156.012	16939	0.0
k39_9456	0.011	0.552	103.301	1473	0.001
k39_12514	0.011	0.879	142.264	43374	0.0
k39_13153	0.011	0.898	153.754	99711	0.0
k39_11635	0.011	0.896	120.492	11943	0.0
k39_3781	0.011	0.922	155.337	8449	0.0
k39_4010	0.011	0.99	159.891	1618	0.004
k39_3096	0.011	0.897	187.839	1976	0.002
k39_6419	0.011	0.915	154.522	33530	0.0
k39_10677	0.011	0.867	161.357	10247	0.0
k39_10591	0.011	0.939	162.638	42051	0.0
k39_12598	0.011	0.949	151.392	30690	0.0
k39_937	0.011	0.99	127.028	1806	0.0
k39_10201	0.011	0.868	143.622	13832	0.0
k39_9305	0.011	0.951	135.66	19042	0.0
k39_11685	0.011	0.849	142.509	24867	0.0
k39_9133	0.011	0.963	149.888	4706	0.0
k39_1450	0.011	0.99	168.066	23924	0.0
k39_13000	0.011	0.887	143.055	25192	0.0
k39_10596	0.011	0.99	139.787	4154	0.0
k39_9882	0.011	0.878	127.111	3345	0.0
k39_4968	0.011	0.892	164.116	21483	0.0
k39_9206	0.011	0.938	136.174	15214	0.0
k39_11883	0.011	0.923	139.494	12703	0.0
k39_3660	0.011	0.963	130.576	34999	0.0
k39_8547	0.011	0.94	163.029	26003	0.0
k39_3460	0.011	0.889	131.588	10852	0.0
k39_8376	0.011	0.915	155.787	29315	0.0
k39_13080	0.011	0.896	125.309	23367	0.0
k39_1944	0.011	0.99	118.765	2829	0.0
k39_12481	0.011	0.99	134.788	13479	0.0
k39_623	0.011	0.99	197.078	2458	0.0
k39_10564	0.011	0.904	123.37	17473	0.0
k39_3470	0.011	0.932	141.425	10527	0.0
k39_7155	0.011	0.895	161.888	9398	0.0
k39_10180	0.011	0.849	142.621	15156	0.0
k39_6415	0.011	0.916	323.489	2991	0.0
k39_12639	0.011	0.966	86.692	6531	0.0
k39_9257	0.011	0.99	177.467	17617	0.0
k39_11288	0.01	0.99	136.973	2331	0.003
k39_5722	0.01	0.778	127.706	19615	0.0
k39_12821	0.01	0.99	126.489	15462	0.0
k39_7121	0.01	0.913	151.473	15001	0.0
k39_1840	0.01	0.985	371.597	5858	0.0
k39_3084	0.01	0.99	143.597	1391	0.015
k39_7712	0.01	0.99	121.1	2322	0.005
k39_9599	0.01	0.99	217.357	3045	0.02
k39_1904	0.01	0.854	166.149	5086	0.0
k39_12751	0.01	0.878	149.123	17706	0.0
k39_3829	0.01	0.99	127.186	15002	0.0
k39_11844	0.01	0.99	161.741	11620	0.0
k39_5489	0.01	0.874	161.165	9448	0.0
k39_6277	0.01	0.855	182.598	7124	0.0
k39_8032	0.01	0.971	140.306	27154	0.0
k39_4919	0.01	0.99	108.085	4380	0.0
k39_6919	0.01	0.99	162.322	5823	0.0
k39_12034	0.01	0.86	128.229	9622	0.0
k39_8487	0.01	0.876	151.586	4461	0.0
k39_10572	0.01	0.881	121.843	13111	0.0
k39_927	0.01	0.99	98.166	4233	0.0
k39_9339	0.01	0.982	144.328	35879	0.0
k39_10506	0.01	0.99	152.272	2562	0.0
k39_12886	0.01	0.969	152.182	32004	0.0
k39_7492	0.01	0.843	113.659	6153	0.0
k39_10112	0.01	0.914	145.569	15287	0.0
k39_3428	0.01	0.722	86.659	3477	0.0
k39_2046	0.01	0.99	295.61	1531	0.002
k39_2555	0.01	0.815	148.017	2569	0.001
k39_1672	0.01	0.937	181.306	4535	0.001
k39_5031	0.009	0.905	292.157	3557	0.0
k39_9388	0.009	0.99	375.187	2501	0.005
k39_6601	0.009	0.685	121.917	1927	0.003
k39_2492	0.009	0.948	125.453	18635	0.0
k39_11831	0.009	0.99	171.567	3542	0.004
k39_2122	0.009	0.845	147.837	6046	0.0
k39_10937	0.009	0.99	127.737	1552	0.015
k39_4135	0.009	0.877	161.58	1785	0.014
k39_7066	0.009	0.99	139.389	5765	0.0
k39_9019	0.009	0.725	88.177	2347	0.005
k39_5232	0.009	0.944	90.48	8279	0.0
k39_12745	0.009	0.99	43.713	2063	0.0
k39_7570	0.009	0.864	154.424	26038	0.0
k39_6085	0.009	0.942	165.16	14165	0.0
k39_13115	0.009	0.99	120.392	2811	0.0
k39_8593	0.009	0.99	121.443	7791	0.0
k39_12411	0.009	0.918	202.36	5913	0.0
k39_2021	0.009	0.828	144.243	8720	0.0
k39_6025	0.009	0.868	103.281	2249	0.0
k39_10874	0.008	0.975	126.172	7901	0.0
k39_6083	0.008	0.99	109.182	1927	0.049
k39_8789	0.008	0.824	134.949	9474	0.0
k39_10433	0.008	0.848	149.337	2615	0.003
k39_11429	0.008	0.961	125.41	4495	0.0
k39_12457	0.008	0.956	123.831	9819	0.0
k39_2392	0.008	0.99	169.928	4013	0.0
k39_13193	0.008	0.968	137.811	5500	0.0
k39_7990	0.008	0.536	122.75	2127	0.006
k39_9444	0.008	0.92	150.868	14984	0.0
k39_3877	0.008	0.957	246.815	2974	0.001
k39_9042	0.007	0.99	197.539	3273	0.005
k39_9468	0.007	0.909	148.293	3265	0.001
k39_4115	0.005	0.659	155.591	2597	0.012
